model,flag,contact_probability,duration_generations,duration_years,seed,primary_ignition,first_generation,final_repertoire,final_primary_fraction,final_cognition,final_infrastructure
Full model,0,0.03,40,1000,1040300,1,154,18.984375,0.609375,0.3968271216105609,0.634629265454865
Full model,0,0.03,40,1000,1040301,0,408,6.134375,0.109375,0.2634421911491186,0.1394545487005102
Full model,0,0.03,40,1000,1040302,0,-1,4.8875,0.0,0.2790544430342289,0.0369575704336408
Full model,0,0.03,40,1000,1040303,0,-1,5.5,0.028125,0.3041100078667887,0.0797480960242035
Full model,0,0.03,40,1000,1040304,0,-1,4.378125,0.0,0.2360902256207264,0.0184230410836257
Full model,0,0.03,40,1000,1040305,0,149,19.4375,0.625,0.4375767792339947,0.6362743965626113
Full model,0,0.03,40,1000,1040306,0,-1,4.925,0.0,0.2855715454560243,0.0281572472243892
Full model,0,0.03,40,1000,1040307,0,312,7.584375,0.165625,0.3055268825889529,0.2298658687890455
Full model,0,0.03,40,1000,1040308,0,-1,5.3875,0.03125,0.2812094141344109,0.0834576621763448
Full model,0,0.03,40,1000,1040309,0,165,18.7625,0.621875,0.4158397865790885,0.6354780372912078
Full model,0,0.03,40,1000,1040310,0,361,7.7875,0.153125,0.3099818241517883,0.2493666394603503
Full model,0,0.03,40,1000,1040311,0,-1,4.99375,0.03125,0.2353789174330036,0.0740244886046976
Full model,0,0.03,40,1000,1040312,0,234,6.85625,0.1125,0.2611493403909363,0.1477886638917677
Full model,0,0.03,40,1000,1040313,0,153,14.103125,0.4375,0.3658604858223647,0.4510514837691007
Full model,0,0.03,40,1000,1040314,0,179,17.234375,0.61875,0.3618193480798941,0.6278165658254319
Full model,0,0.03,40,1000,1040315,1,157,20.36875,0.6875,0.4274306964550229,0.6915526943921586
Full model,0,0.03,40,1000,1040316,0,-1,4.24375,0.0,0.2227966272935357,0.0172196298140267
Full model,0,0.03,40,1000,1040317,0,205,15.846875,0.496875,0.3503907925792411,0.5163535139844138
Full model,0,0.03,40,1000,1040318,0,-1,6.11875,0.071875,0.2952915189517763,0.1356290647315637
Full model,0,0.03,40,1000,1040319,0,312,7.475,0.178125,0.2932092627408412,0.2018525212529412
Full model,0,0.03,40,1000,1040320,0,149,11.665625,0.36875,0.3137281051460732,0.3870411018024219
Full model,0,0.03,40,1000,1040321,0,143,18.034375,0.5625,0.3975445833653854,0.5871249069665548
Full model,0,0.03,40,1000,1040322,1,144,23.2875,0.8125,0.4764638945307459,0.8143086298506681
Full model,0,0.03,40,1000,1040323,0,209,9.225,0.25,0.3178792417340574,0.2648402288504108
Full model,0,0.03,40,1000,1040324,0,289,7.86875,0.1875,0.2930851733433746,0.2124426319892783
Full model,0,0.03,40,1000,1040325,0,-1,4.50625,0.0,0.2314184188688753,0.0191106939933571
Full model,0,0.03,40,1000,1040326,0,186,10.86875,0.3625,0.2592778358943795,0.3842902370314501
Full model,0,0.03,40,1000,1040327,1,143,19.40625,0.621875,0.4494024331858005,0.6365222208620133
Full model,0,0.03,40,1000,1040328,0,172,12.153125,0.375,0.3222035721826854,0.3921877264156734
Full model,0,0.03,40,1000,1040329,0,132,16.6,0.49375,0.3765089914883351,0.5378621987223557
Full model,0,0.03,40,1000,1040330,0,204,16.371875,0.5375,0.3942257531391195,0.5635310748695399
Full model,0,0.03,40,1000,1040331,0,-1,6.121875,0.0625,0.2924107861230369,0.1023531511369176
Full model,0,0.03,40,1000,1040332,0,207,6.665625,0.121875,0.2798953259774435,0.1504020984155481
Full model,0,0.03,40,1000,1040333,0,267,12.053125,0.375,0.3291399282670623,0.3872805656053473
Full model,0,0.03,40,1000,1040334,0,156,14.59375,0.4375,0.3806057010934409,0.4585890815307376
Full model,0,0.03,40,1000,1040335,0,155,9.95625,0.28125,0.3198282381851638,0.3203377241824975
Full model,0,0.03,40,1000,1040336,1,142,20.7125,0.6875,0.4287700649789143,0.6991900686193065
Full model,0,0.03,40,1000,1040337,0,153,21.309375,0.75,0.4561226394992971,0.7542998469512557
Full model,0,0.03,40,1000,1040338,0,226,12.26875,0.371875,0.315407697574272,0.39001911010254
Full model,0,0.03,40,1000,1040339,1,147,22.109375,0.746875,0.4747650496551054,0.7528801309198969
Full model,0,0.03,40,1000,1040340,1,161,18.39375,0.61875,0.4209405452311371,0.634879071041605
Full model,0,0.03,40,1000,1040341,0,160,7.84375,0.1875,0.2727491653214692,0.20329441536336
Full model,0,0.03,40,1000,1040342,0,417,6.81875,0.1,0.3195586988223347,0.1641871711614512
Full model,0,0.03,40,1000,1040343,0,-1,5.23125,0.0,0.302191561346512,0.0379046743891899
Full model,0,0.03,40,1000,1040344,1,148,20.725,0.6875,0.4348248638994919,0.6942427093025714
Full model,0,0.03,40,1000,1040345,0,163,17.73125,0.5625,0.4068727783441745,0.573322053672956
Full model,0,0.03,40,1000,1040346,0,154,13.425,0.434375,0.3318560190340439,0.4468490351139851
Full model,0,0.03,40,1000,1040347,0,251,10.165625,0.309375,0.317834021858829,0.3281292660182271
Full model,0,0.03,40,1000,1040348,0,284,9.1125,0.2375,0.3030359422106846,0.3057994903681734
Full model,0,0.03,40,1000,1040349,0,146,19.175,0.621875,0.4053103070459388,0.6344317344426278
Full model,0,0.06,40,1000,1040600,0,182,8.353125,0.225,0.3012696672713171,0.2607257758027016
Full model,0,0.06,40,1000,1040601,0,150,9.940625,0.246875,0.2915219362852935,0.2678898377600198
Full model,0,0.06,40,1000,1040602,0,168,18.803125,0.625,0.4201752767639417,0.6433202287444744
Full model,0,0.06,40,1000,1040603,0,162,12.55625,0.375,0.3501351966681881,0.3930711611912487
Full model,0,0.06,40,1000,1040604,0,166,7.70625,0.1875,0.2594629092474939,0.2011327686582126
Full model,0,0.06,40,1000,1040605,1,150,21.115625,0.74375,0.4453345905401981,0.7521202753940149
Full model,0,0.06,40,1000,1040606,0,162,8.590625,0.24375,0.2491829067718605,0.2623818980789956
Full model,0,0.06,40,1000,1040607,0,-1,4.603125,0.0,0.2538652734971399,0.0265974284585682
Full model,0,0.06,40,1000,1040608,0,157,10.540625,0.303125,0.3114120234878798,0.3319958879843272
Full model,0,0.06,40,1000,1040609,0,-1,4.75625,0.0,0.2827989680618246,0.0205948828148189
Full model,0,0.06,40,1000,1040610,0,149,10.91875,0.3,0.3346324892057593,0.3423176566381474
Full model,0,0.06,40,1000,1040611,0,146,12.45625,0.371875,0.3414584832269298,0.3930036895213672
Full model,0,0.06,40,1000,1040612,0,314,11.790625,0.365625,0.3581982421552896,0.3907701360167057
Full model,0,0.06,40,1000,1040613,0,158,11.79375,0.371875,0.3263266130556995,0.3856078032576643
Full model,0,0.06,40,1000,1040614,0,152,9.715625,0.240625,0.313857111704996,0.2728271423638507
Full model,0,0.06,40,1000,1040615,0,157,12.45,0.375,0.3221123288422697,0.3950631344525264
