contact_probability,duration_generations,duration_years,criterion,ignitions,replicates,ignition_probability,wilson_low,wilson_high,median_first_primary_year_if_any,median_final_repertoire,median_final_primary_fraction,median_final_cognition,median_final_infrastructure
0.002,40,1000,permissive,0,100,0.0,3.469446951953614e-18,0.03699349820698568,8250.0,4.8734375,0.0,0.27819953264786157,0.030715224378136098
0.002,40,1000,primary,0,100,0.0,3.469446951953614e-18,0.03699349820698568,8250.0,4.8734375,0.0,0.27819953264786157,0.030715224378136098
0.002,40,1000,strict,0,100,0.0,3.469446951953614e-18,0.03699349820698568,8250.0,4.8734375,0.0,0.27819953264786157,0.030715224378136098
0.02,40,1000,permissive,8,100,0.08,0.041093461484380624,0.14998107700948735,5750.0,7.5625,0.18125,0.3074618149709002,0.2003550790436337
0.02,40,1000,primary,4,100,0.04,0.01566330399154762,0.0983707143588792,5750.0,7.5625,0.18125,0.3074618149709002,0.2003550790436337
0.02,40,1000,strict,0,100,0.0,3.469446951953614e-18,0.03699349820698568,5750.0,7.5625,0.18125,0.3074618149709002,0.2003550790436337
0.03,40,1000,permissive,13,100,0.13,0.07757167427240512,0.20980351440076428,4450.0,9.4109375,0.25,0.3051771943600355,0.2730669316614188
0.03,40,1000,primary,10,100,0.1,0.0552291370606751,0.17436566150491345,4450.0,9.4109375,0.25,0.3051771943600355,0.2730669316614188
0.03,40,1000,strict,2,100,0.02,0.00550196755016235,0.07001179072854388,4450.0,9.4109375,0.25,0.3051771943600355,0.2730669316614188
0.04,40,1000,permissive,21,100,0.21,0.141656540619153,0.29979968834089865,3987.5,13.4390625,0.434375,0.34756746759313434,0.44707432466262254
0.04,40,1000,primary,17,100,0.17,0.10893566114059931,0.25548004767601123,3987.5,13.4390625,0.434375,0.34756746759313434,0.44707432466262254
0.04,40,1000,strict,3,100,0.03,0.010254524024038925,0.0845193642905276,3987.5,13.4390625,0.434375,0.34756746759313434,0.44707432466262254
0.05,40,1000,permissive,26,100,0.26,0.18404698464748132,0.3537098944918718,3950.0,13.240625,0.4015625,0.34231835591291393,0.43924479531361993
0.05,40,1000,primary,20,100,0.2,0.1333669333310325,0.2888291655931589,3950.0,13.240625,0.4015625,0.34231835591291393,0.43924479531361993
0.05,40,1000,strict,8,100,0.08,0.041093461484380624,0.14998107700948735,3950.0,13.240625,0.4015625,0.34231835591291393,0.43924479531361993
0.06,40,1000,permissive,38,100,0.38,0.29097599252478734,0.47790244704488916,3837.5,15.371875,0.5,0.37180554057257154,0.5123223812737057
0.06,40,1000,primary,30,100,0.3,0.2189488529493276,0.3958485463334666,3837.5,15.371875,0.5,0.37180554057257154,0.5123223812737057
