design,n_groups,group_size,total_population,contact_probability,ignitions,replicates,ignition_probability,median_final_repertoire
fixed_total_320,4,80,320,0.03,0,8,0.0,4.190625000000001
fixed_total_320,4,80,320,0.05,0,8,0.0,3.740625
fixed_total_320,4,80,320,0.08,0,8,0.0,3.8453125
fixed_total_320,4,80,320,0.12,0,8,0.0,3.596875
fixed_total_320,8,40,320,0.03,3,8,0.375,18.81875
fixed_total_320,8,40,320,0.05,2,8,0.25,18.359375
fixed_total_320,8,40,320,0.08,6,8,0.75,27.6515625
fixed_total_320,8,40,320,0.12,6,8,0.75,27.5765625
fixed_total_320,16,20,320,0.03,2,8,0.25,6.9546875
fixed_total_320,16,20,320,0.05,6,8,0.75,22.5546875
fixed_total_320,16,20,320,0.08,7,8,0.875,26.8390625
fixed_total_320,16,20,320,0.12,7,8,0.875,27.5578125
fixed_total_320,32,10,320,0.03,0,8,0.0,6.89375
fixed_total_320,32,10,320,0.05,0,8,0.0,11.35
fixed_total_320,32,10,320,0.08,6,8,0.75,24.7453125
fixed_total_320,32,10,320,0.12,8,8,1.0,27.075
fixed_group_20,4,20,80,0.03,0,8,0.0,3.03125
fixed_group_20,4,20,80,0.05,0,8,0.0,3.31875
fixed_group_20,4,20,80,0.08,0,8,0.0,3.34375
fixed_group_20,4,20,80,0.12,0,8,0.0,3.45625
fixed_group_20,8,20,160,0.03,2,8,0.25,12.215625
fixed_group_20,8,20,160,0.05,2,8,0.25,6.04375
fixed_group_20,8,20,160,0.08,6,8,0.75,27.603125
fixed_group_20,8,20,160,0.12,5,8,0.625,24.20625
fixed_group_20,16,20,320,0.03,2,8,0.25,6.9546875
fixed_group_20,16,20,320,0.05,6,8,0.75,22.5546875
fixed_group_20,16,20,320,0.08,7,8,0.875,26.8390625
fixed_group_20,16,20,320,0.12,7,8,0.875,27.5578125
fixed_group_20,32,20,640,0.03,2,8,0.25,15.8328125
fixed_group_20,32,20,640,0.05,4,8,0.5,18.115625
fixed_group_20,32,20,640,0.08,7,8,0.875,27.56875
fixed_group_20,32,20,640,0.12,8,8,1.0,27.63203125
fixed_group_20,64,20,1280,0.03,2,8,0.25,16.842578125000003
fixed_group_20,64,20,1280,0.05,8,8,1.0,25.2046875
fixed_group_20,64,20,1280,0.08,8,8,1.0,27.534375
fixed_group_20,64,20,1280,0.12,8,8,1.0,27.709375
fixed_groups_16,16,10,160,0.03,0,8,0.0,5.090624999999999
fixed_groups_16,16,10,160,0.05,1,8,0.125,7.35
fixed_groups_16,16,10,160,0.08,2,8,0.25,6.7875
fixed_groups_16,16,10,160,0.12,8,8,1.0,27.19375
fixed_groups_16,16,20,320,0.03,2,8,0.25,18.60625
fixed_groups_16,16,20,320,0.05,5,8,0.625,18.9921875
fixed_groups_16,16,20,320,0.08,7,8,0.875,27.2765625
fixed_groups_16,16,20,320,0.12,8,8,1.0,27.653125000000003
fixed_groups_16,16,40,640,0.03,6,8,0.75,22.06640625
fixed_groups_16,16,40,640,0.05,7,8,0.875,26.51953125
fixed_groups_16,16,40,640,0.08,6,8,0.75,27.5328125
fixed_groups_16,16,40,640,0.12,5,8,0.625,27.60234375
fixed_groups_16,16,80,1280,0.03,8,8,1.0,27.08046875
fixed_groups_16,16,80,1280,0.05,7,8,0.875,25.36171875
fixed_groups_16,16,80,1280,0.08,8,8,1.0,27.8703125
fixed_groups_16,16,80,1280,0.12,8,8,1.0,27.91796875
