topology,network_realization,graph_seed,contact_probability,duration_years,ignitions,agent_replicates,ignition_probability,median_final_repertoire,median_first_ignition_year_if_any,density,clustering,mean_shortest_path,degree_cv,modularity
Erdos-Renyi,0,20337869,0.02,1500,0,8,0.0,8.03125,5187.5,0.2916666666666667,0.394047619047619,1.9083333333333332,0.4189393799604337,0.2706122448979591
Erdos-Renyi,1,20337870,0.02,1500,1,8,0.125,6.534375000000001,7100.0,0.25,0.2470238095238095,2.05,0.4055175020198813,0.2627777777777778
Erdos-Renyi,2,20337871,0.02,1500,0,8,0.0,5.671875,4325.0,0.175,0.2625,3.0083333333333333,0.4232473532055042,0.4047619047619047
Erdos-Renyi,3,20337872,0.02,1500,0,8,0.0,5.29375,5962.5,0.25,0.1529761904761905,2.033333333333333,0.3711842908553348,0.2133333333333333
Erdos-Renyi,4,20337873,0.02,1500,0,8,0.0,6.340625,4612.5,0.2666666666666666,0.1919642857142857,2.0,0.4592793267718459,0.20947265625
Erdos-Renyi,5,20337874,0.02,1500,0,8,0.0,5.290625,4162.5,0.2916666666666667,0.3720238095238095,1.9166666666666667,0.4030495994190253,0.2853061224489795
Erdos-Renyi,6,20337875,0.02,1500,0,8,0.0,5.5640625,8475.0,0.175,0.0,2.475,0.5016977977548923,0.3435374149659863
Erdos-Renyi,7,20337876,0.02,1500,0,8,0.0,6.278125,6600.0,0.1916666666666666,0.0479166666666666,2.45,0.3864432355354604,0.3109640831758034
Erdos-Renyi,8,20337877,0.02,1500,1,8,0.125,8.7234375,4400.0,0.2833333333333333,0.3028273809523809,1.9,0.2941176470588235,0.2400519031141868
Erdos-Renyi,9,20337878,0.02,1500,0,8,0.0,8.3125,7237.5,0.225,0.0857142857142857,2.075,0.543069566615377,0.2345679012345679
Erdos-Renyi,10,20337879,0.02,1500,0,8,0.0,5.6421875,6325.0,0.2416666666666666,0.275297619047619,2.05,0.4765612055546639,0.3240190249702735
Erdos-Renyi,11,20337880,0.02,1500,0,8,0.0,5.559374999999999,4225.0,0.2583333333333333,0.2229166666666666,2.058333333333333,0.2867159489456641,0.2778355879292403
Erdos-Renyi,12,20337881,0.02,1500,0,8,0.0,4.887499999999999,4900.0,0.2333333333333333,0.2339285714285714,2.1333333333333333,0.4285714285714285,0.2876275510204081
Erdos-Renyi,13,20337882,0.02,1500,0,8,0.0,4.378125,,0.175,0.1374999999999999,3.066666666666667,0.4832805507186771,0.4002267573696145
Erdos-Renyi,14,20337883,0.02,1500,0,8,0.0,5.1390625,5550.0,0.1916666666666666,0.2041666666666666,2.466666666666667,0.4412561550040095,0.3742911153119092
Erdos-Renyi,15,20337884,0.02,1500,0,8,0.0,7.4015625,4350.0,0.2333333333333333,0.2821428571428571,2.125,0.4738035414793428,0.350765306122449
Erdos-Renyi,16,20337885,0.02,1500,0,8,0.0,6.3015625,5725.0,0.225,0.1833333333333333,2.15,0.4303314829119352,0.3511659807956104
Erdos-Renyi,17,20337886,0.02,1500,0,8,0.0,5.9875,5812.5,0.1666666666666666,0.225,2.708333333333333,0.6324555320336759,0.3325
Erdos-Renyi,18,20337887,0.02,1500,0,8,0.0,4.884375,4800.0,0.2916666666666667,0.2647321428571428,1.8666666666666667,0.3948649988881501,0.2330612244897958
Erdos-Renyi,19,20337888,0.02,1500,0,8,0.0,5.215625,4700.0,0.2666666666666666,0.3208333333333333,1.95,0.2931509849889643,0.28369140625
Erdos-Renyi,0,20271294,0.04,1500,0,8,0.0,6.703125,6250.0,0.2083333333333333,0.075,2.3,0.4783304297240559,0.2391999999999999
Erdos-Renyi,1,20271295,0.04,1500,0,8,0.0,9.9484375,4475.0,0.2166666666666666,0.18125,2.3666666666666667,0.3846153846153846,0.3202662721893491
Erdos-Renyi,2,20271296,0.04,1500,0,8,0.0,10.546875,4612.5,0.2916666666666667,0.3232142857142857,1.875,0.3319700011034928,0.2599999999999999
Erdos-Renyi,3,20271297,0.04,1500,0,8,0.0,5.3015625,7425.0,0.225,0.1827380952380952,2.316666666666667,0.4551187306460929,0.3449931412894376
Erdos-Renyi,4,20271298,0.04,1500,0,8,0.0,6.265625,4475.0,0.2166666666666666,0.2446428571428571,2.2,0.5493406483494501,0.3173076923076923
Erdos-Renyi,5,20271299,0.04,1500,1,8,0.125,6.453125,4175.0,0.1666666666666666,0.05625,2.7333333333333334,0.5291502622129182,0.38875
Erdos-Renyi,6,20271300,0.04,1500,0,8,0.0,8.2015625,5700.0,0.2333333333333333,0.2479166666666666,2.225,0.4844521416518049,0.2991071428571429
Erdos-Renyi,7,20271301,0.04,1500,1,8,0.125,13.0078125,4100.0,0.225,0.2886904761904761,2.2666666666666666,0.4551187306460929,0.3251028806584362
Erdos-Renyi,8,20271302,0.04,1500,0,8,0.0,6.90625,4825.0,0.2083333333333333,0.1979166666666666,2.4,0.3174901573277509,0.3816
Erdos-Renyi,9,20271303,0.04,1500,0,8,0.0,8.821875,4600.0,0.25,0.1342261904761904,2.025,0.3944053188733077,0.2627777777777778
Erdos-Renyi,10,20271304,0.04,1500,0,8,0.0,6.401562500000001,6600.0,0.2416666666666666,0.2458333333333333,2.191666666666667,0.5506454973334935,0.2342449464922711
