model,flag,contact_probability,duration_generations,duration_years,ignitions,replicates,ignition_probability,wilson_low,wilson_high,median_first_ignition_year_if_any,median_final_repertoire
Full model,0,0.03,40,1000,8,50,0.16,0.08337420678033404,0.2851421606303499,4075.0,11.2671875
Full model,0,0.03,60,1500,11,50,0.22,0.1275391597021442,0.3524154958125367,4225.0,13.8515625
Full model,0,0.03,80,2000,19,50,0.38,0.25862789310193596,0.5184955306900703,4387.5,16.284375
Full model,0,0.06,40,1000,12,50,0.24,0.1429739139699173,0.3741268375794292,3850.0,12.284375
Full model,0,0.06,60,1500,28,50,0.56,0.4230602802165686,0.6883780078874284,3825.0,21.2453125
Full model,0,0.06,80,2000,33,50,0.66,0.521538260502326,0.7756305077749992,3925.0,27.3
Full model,0,0.1,40,1000,27,50,0.54,0.40398871399157477,0.6703034780777566,3687.5,20.728125
Full model,0,0.1,60,1500,37,50,0.74,0.6044684273515117,0.8412847250644762,3725.0,27.3296875
Full model,0,0.1,80,2000,45,50,0.9,0.7863976856252035,0.9565242350681096,3725.0,27.615625
Full model,0,0.16,40,1000,36,50,0.72,0.5833487630404344,0.8252582933408878,3587.5,27.328125
Full model,0,0.16,60,1500,44,50,0.88,0.7619518261679701,0.9438239984906773,3600.0,27.6890625
Full model,0,0.16,80,2000,47,50,0.94,0.8378290831116182,0.979385029651026,3637.5,27.6359375
No contact event,64,0.1,60,1500,1,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,8162.5,4.8171875
No cultural selection on cognition,16,0.03,40,1000,0,50,0.0,6.938893903907228e-18,0.07134759913335872,3825.0,4.2125
No cultural selection on cognition,16,0.03,60,1500,0,50,0.0,6.938893903907228e-18,0.07134759913335872,5500.0,4.228125
No cultural selection on cognition,16,0.03,80,2000,0,50,0.0,6.938893903907228e-18,0.07134759913335872,4862.5,4.2328125
No cultural selection on cognition,16,0.06,40,1000,0,50,0.0,6.938893903907228e-18,0.07134759913335872,4050.0,4.190625000000001
No cultural selection on cognition,16,0.06,60,1500,1,50,0.02,0.003539259271646236,0.10495443589637815,4300.0,4.370312500000001
