cluster_type,omitted_cluster,n_remaining,change_point_ka,delta_loglik,older_rate,younger_rate
Source,Moore 2003,62,525.0,18.296613678514834,0.1875,0.9565217391304348
Source,Barzilai and Goring-Morris 2010,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Stout et al. 2010,62,525.0,16.194143329187387,0.21428571428571427,0.9583333333333334
Source,Hogberg et al. 2011,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Sorensen 2004,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Villa et al. 2010,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Tryon et al. 2006,62,325.0,18.51484665282525,0.2631578947368421,0.9767441860465116
Source,Goren-Inbar et al. 2008,62,525.0,16.194143329187387,0.21428571428571427,0.9583333333333334
Source,Li et al. 2017,63,525.0,17.49310768784931,0.2,0.9583333333333334
Source,Pleurdeau 2006,62,525.0,18.296613678514834,0.1875,0.9565217391304348
Source,Harmand et. al. 2015,63,525.0,17.49310768784931,0.2,0.9583333333333334
Source,Delagnes and Roche 2005,63,525.0,17.49310768784931,0.2,0.9583333333333334
Source,Plummer and Bishop 2016,63,525.0,17.49310768784931,0.2,0.9583333333333334
Source,Diez-Martin et al. 2009,63,525.0,17.49310768784931,0.2,0.9583333333333334
Source,Isaac 1977,63,525.0,17.49310768784931,0.2,0.9583333333333334
Source,Clark 1971,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Barzilai and Ashkenazy 2015,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Stout et al. 2014,63,325.0,18.76591584341756,0.2631578947368421,0.9772727272727273
Source,Pasda 2017,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Hahn and Owen 1985 ,62,525.0,18.296613678514834,0.1875,0.9565217391304348
Source,Aubrey et al. 2008,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Gallotti 2013,63,525.0,20.300701666155415,0.13333333333333333,0.9583333333333334
Source,Conard and Adler 1997,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Torre et al. 2008,63,525.0,17.49310768784931,0.2,0.9583333333333334
Source,Villa et al. 2016,62,525.0,20.478781051888433,0.1875,0.9782608695652174
Source,Gilbert et al. 2016,63,575.0,19.201265347223917,0.14285714285714285,0.9591836734693877
Source,Texier 1995,63,525.0,20.300701666155415,0.13333333333333333,0.9583333333333334
Source,Schimelmitz et al. 2011,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Chazan 2001a,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Fernandez 2005,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Chazan 2001b,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Clarkson et a. 2015,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Malinsky-Buller et al. 2014,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Shimelmitz and Kuhn 2013,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Spinapolice et al. 2014,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Groucutt 2014,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Hublin et al. 1987 and Richter et al. 2017,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Wilkins and Chazan 2012,63,525.0,20.300701666155415,0.13333333333333333,0.9583333333333334
Source,Coutouly 2017,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Wilson et al. 2011,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Desrosiers and Gendron 2004,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Rankama and Kankaanpaa 2011,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Paige 2022,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Paige 2022 and Lagarde and Sand 2013,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Adler et al. 2014,63,325.0,18.76591584341756,0.2631578947368421,0.9772727272727273
Source,Dietler 2003,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Cassidy et al. 2014,63,525.0,18.5270015219981,0.1875,0.9574468085106383
Source,Pavlides and Kennedy 2007,62,525.0,20.478781051888433,0.1875,0.9782608695652174
Source,Braun et al. 2019,63,525.0,17.49310768784931,0.2,0.9583333333333334
