analysis,baseline,boundary_ka,older_successes,older_n,younger_successes,younger_n,older_rate,younger_rate,delta_loglik,fisher_p
change_point,5,575.0,5,14,49,50,0.35714285714285715,0.98,13.627702925818388,6.674513386595183e-07
fixed_boundary,5,500.0,8,17,46,47,0.47058823529411764,0.9787234042553191,,7.671442118737267e-06
fixed_boundary,5,525.0,7,16,47,48,0.4375,0.9791666666666666,,3.6780628223726784e-06
fixed_boundary,5,600.0,5,14,49,50,0.35714285714285715,0.98,,6.674513386595183e-07
fixed_boundary,5,700.0,5,14,49,50,0.35714285714285715,0.98,,6.674513386595183e-07
change_point,6,525.0,3,16,46,48,0.1875,0.9583333333333334,18.75337895037933,3.996113319094192e-09
fixed_boundary,6,500.0,4,17,45,47,0.23529411764705882,0.9574468085106383,,1.6329565771110163e-08
fixed_boundary,6,525.0,3,16,46,48,0.1875,0.9583333333333334,,3.996113319094192e-09
fixed_boundary,6,600.0,2,14,47,50,0.14285714285714285,0.94,,1.1288937377677551e-08
fixed_boundary,6,700.0,2,14,47,50,0.14285714285714285,0.94,,1.1288937377677551e-08
change_point,7,575.0,0,14,44,50,0.0,0.88,20.91719725216724,8.099348673900154e-10
fixed_boundary,7,500.0,2,17,42,47,0.11764705882352941,0.8936170212765957,,1.0788332433635004e-08
fixed_boundary,7,525.0,1,16,43,48,0.0625,0.8958333333333334,,1.4063113983171944e-09
fixed_boundary,7,600.0,0,14,44,50,0.0,0.88,,8.099348673900154e-10
fixed_boundary,7,700.0,0,14,44,50,0.0,0.88,,8.099348673900154e-10
