N_rocky_HZ_planets,conditional_mean_eligible_exposure_Gyr,external_model_probability,ABM_ignition_probability,opportunity_rate_per_Gyr,max_f_complex_for_50pct_first,max_f_complex_for_95pct_first,max_expected_complex_biospheres_50pct
100000000.0,4.0,0.02,0.1459383119431641,0.01,1.1873975574520358e-06,8.786810965637117e-08,118.73975574520358
100000000.0,4.0,0.02,0.1459383119431641,0.1,1.1873975574520359e-07,8.786810965637116e-09,11.873975574520358
100000000.0,4.0,0.02,0.1459383119431641,1.0,1.1873975574520359e-08,8.786810965637117e-10,1.187397557452036
100000000.0,4.0,0.06105850622701177,0.5000000000000001,0.01,3.4657359027997256e-07,2.5646647193775282e-08,34.65735902799726
100000000.0,4.0,0.06105850622701177,0.5000000000000001,0.1,3.465735902799726e-08,2.5646647193775284e-09,3.465735902799726
100000000.0,4.0,0.06105850622701177,0.5000000000000001,1.0,3.465735902799726e-09,2.564664719377529e-10,0.3465735902799726
100000000.0,4.0,0.12,0.9266515124798952,0.01,1.8700319678563735e-07,1.38383452939822e-08,18.700319678563734
100000000.0,4.0,0.12,0.9266515124798952,0.1,1.8700319678563737e-08,1.38383452939822e-09,1.8700319678563737
100000000.0,4.0,0.12,0.9266515124798952,1.0,1.8700319678563733e-09,1.3838345293982198e-10,0.18700319678563734
1000000000.0,4.0,0.02,0.1459383119431641,0.01,1.1873975574520359e-07,8.786810965637116e-09,118.73975574520358
1000000000.0,4.0,0.02,0.1459383119431641,0.1,1.1873975574520359e-08,8.786810965637117e-10,11.873975574520358
1000000000.0,4.0,0.02,0.1459383119431641,1.0,1.187397557452036e-09,8.786810965637118e-11,1.187397557452036
1000000000.0,4.0,0.06105850622701177,0.5000000000000001,0.01,3.465735902799726e-08,2.5646647193775284e-09,34.65735902799726
1000000000.0,4.0,0.06105850622701177,0.5000000000000001,0.1,3.465735902799726e-09,2.564664719377529e-10,3.465735902799726
1000000000.0,4.0,0.06105850622701177,0.5000000000000001,1.0,3.4657359027997255e-10,2.5646647193775282e-11,0.34657359027997253
1000000000.0,4.0,0.12,0.9266515124798952,0.01,1.8700319678563737e-08,1.38383452939822e-09,18.700319678563737
1000000000.0,4.0,0.12,0.9266515124798952,0.1,1.8700319678563733e-09,1.3838345293982198e-10,1.8700319678563733
1000000000.0,4.0,0.12,0.9266515124798952,1.0,1.8700319678563734e-10,1.3838345293982198e-11,0.18700319678563734
10000000000.0,4.0,0.02,0.1459383119431641,0.01,1.1873975574520359e-08,8.786810965637117e-10,118.73975574520358
10000000000.0,4.0,0.02,0.1459383119431641,0.1,1.187397557452036e-09,8.786810965637118e-11,11.87397557452036
10000000000.0,4.0,0.02,0.1459383119431641,1.0,1.187397557452036e-10,8.786810965637118e-12,1.187397557452036
10000000000.0,4.0,0.06105850622701177,0.5000000000000001,0.01,3.465735902799726e-09,2.564664719377529e-10,34.65735902799726
10000000000.0,4.0,0.06105850622701177,0.5000000000000001,0.1,3.4657359027997255e-10,2.5646647193775282e-11,3.4657359027997257
10000000000.0,4.0,0.06105850622701177,0.5000000000000001,1.0,3.465735902799726e-11,2.5646647193775286e-12,0.3465735902799726
10000000000.0,4.0,0.12,0.9266515124798952,0.01,1.8700319678563733e-09,1.3838345293982198e-10,18.700319678563734
10000000000.0,4.0,0.12,0.9266515124798952,0.1,1.8700319678563734e-10,1.3838345293982198e-11,1.8700319678563733
10000000000.0,4.0,0.12,0.9266515124798952,1.0,1.8700319678563735e-11,1.3838345293982198e-12,0.18700319678563734
