parameter,rf_impurity_importance,permutation_importance_mean,permutation_importance_sd,spearman_rho,spearman_p_value,rf_train_r2,rf_oob_r2
learn_base,0.2891614628337527,0.5031206937895064,0.047729923224335336,0.41760326669084646,3.1687701891514456e-12,0.7872538251556886,0.41604724960224215
learn_cognition,0.20263207166991087,0.29104101253296955,0.03612016314818837,0.3594448834647444,3.179025014871367e-09,0.7872538251556886,0.41604724960224215
teaching_max,0.15460518227246256,0.18779197126634564,0.022441690111210513,0.31429553843952146,2.8240106924855277e-07,0.7872538251556886,0.41604724960224215
brain_cost,0.06817253641973293,0.0666544565852524,0.00837908352627797,-0.2118374964605642,0.0006457971706166803,0.7872538251556886,0.41604724960224215
skill_fitness_benefit,0.05167234632514614,0.05337275188318267,0.005734239243458976,0.2081577048935518,0.0008051869982151531,0.7872538251556886,0.41604724960224215
duration_generations,0.03078803111973716,0.031151674641071696,0.004573410228839293,0.1637490880221156,0.008667314527841826,0.7872538251556886,0.41604724960224215
level_difficulty,0.02691711757070181,0.02667120690043218,0.0029271972577559536,-0.12676926373341652,0.042706901588119746,0.7872538251556886,0.41604724960224215
migration_scale,0.0303391538646022,0.024477731939221082,0.003029959895992916,0.02725028516768497,0.6643237060061353,0.7872538251556886,0.41604724960224215
extra_models_max,0.024623247807899887,0.023839495396299086,0.003204786217242254,0.1659904453712947,0.007783094062024618,0.7872538251556886,0.41604724960224215
infrastructure_steepness,0.03085608695959067,0.021114477458026706,0.002711164747219313,-0.09270792707589355,0.13907212012341802,0.7872538251556886,0.41604724960224215
recombination_strength,0.027906110292202815,0.019635863008724438,0.0032563161051718465,-0.0038813407048167285,0.9507238789688034,0.7872538251556886,0.41604724960224215
innovation_rate,0.02558007202990764,0.018915601029654016,0.002703889713069881,0.10642729738889513,0.08925646881074356,0.7872538251556886,0.41604724960224215
contact_probability,0.02530997462369294,0.01618995234667786,0.0017708558574251168,0.09026595585173054,0.14983094754587153,0.7872538251556886,0.41604724960224215
non_speciality_factor,0.011436606210659643,0.006826435463820339,0.0009460853513347869,-0.053179043970091364,0.39682767206459735,0.7872538251556886,0.41604724960224215
