criterion,term,coefficient,std_error,p_value
permissive,intercept,-3.486717658314573,0.38029884794032986,4.802590628200882e-20
permissive,contact,8.492779012723325,5.876156198983577,0.14837504940435928
permissive,duration_scaled,1.267244292592336,0.36294223477889026,0.00048016053892824284
permissive,interaction,32.22164926699425,6.214839817099947,2.164433233905678e-07
primary,intercept,-4.0443860144590555,0.4174815537820238,3.4050035708804046e-22
primary,contact,11.738956390049061,6.108789108969435,0.054649775556379544
primary,duration_scaled,1.4169315816923702,0.393023488510494,0.000311902536013856
primary,interaction,31.292794550564707,6.368145919707379,8.92563816958878e-07
strict,intercept,-5.478563171429439,0.5528717025277955,3.793518456280825e-23
strict,contact,16.32909640864744,7.009353282403857,0.01982649459099098
strict,duration_scaled,1.821602611267451,0.5003621815509013,0.00027203711049754664
strict,interaction,31.032121709214355,6.969496626486105,8.485139514829105e-06
