design,n_groups,group_size,total_population,estimated_p50,p50_status,min_observed_probability,max_observed_probability
fixed_group_20,4,20,80,,>0.12,0.0,0.0
fixed_group_20,8,20,160,0.06714285714285714,estimated,0.25,0.75
fixed_group_20,16,20,320,0.04,estimated,0.25,0.875
fixed_group_20,32,20,640,0.05,estimated,0.25,1.0
fixed_group_20,64,20,1280,0.03666666666666667,estimated,0.25,1.0
fixed_groups_16,16,10,160,0.09333333333333334,estimated,0.0,1.0
fixed_groups_16,16,20,320,0.043333333333333335,estimated,0.25,1.0
fixed_groups_16,16,40,640,,<0.03,0.625,0.875
fixed_groups_16,16,80,1280,,<0.03,0.875,1.0
fixed_total_320,4,80,320,,>0.12,0.0,0.0
fixed_total_320,8,40,320,0.06285714285714286,estimated,0.25,0.75
fixed_total_320,16,20,320,0.04,estimated,0.25,0.875
fixed_total_320,32,10,320,0.07,estimated,0.0,1.0
