topology,contact_probability,k,n,probability
Erdos-Renyi,0.02,2.0,160.0,0.0125
Erdos-Renyi,0.04,9.0,160.0,0.05625
Erdos-Renyi,0.06,35.0,160.0,0.21875
Erdos-Renyi,0.08,57.0,160.0,0.35625
Erdos-Renyi,0.12,106.0,160.0,0.6625
Erdos-Renyi,0.18,112.0,160.0,0.7
Global,0.02,13.0,120.0,0.10833333333333334
Global,0.04,42.0,120.0,0.35
Global,0.06,64.0,120.0,0.5333333333333333
Global,0.08,85.0,120.0,0.7083333333333334
Global,0.12,97.0,120.0,0.8083333333333333
Global,0.18,111.0,120.0,0.925
Gravity,0.02,13.0,160.0,0.08125
Gravity,0.04,52.0,160.0,0.325
Gravity,0.06,83.0,160.0,0.51875
Gravity,0.08,111.0,160.0,0.69375
Gravity,0.12,132.0,160.0,0.825
Gravity,0.18,141.0,160.0,0.88125
Lattice,0.02,6.0,120.0,0.05
Lattice,0.04,20.0,120.0,0.16666666666666666
Lattice,0.06,51.0,120.0,0.425
Lattice,0.08,78.0,120.0,0.65
Lattice,0.12,100.0,120.0,0.8333333333333334
Lattice,0.18,100.0,120.0,0.8333333333333334
Modular bridges,0.02,0.0,160.0,0.0
Modular bridges,0.04,3.0,160.0,0.01875
Modular bridges,0.06,13.0,160.0,0.08125
Modular bridges,0.08,42.0,160.0,0.2625
Modular bridges,0.12,70.0,160.0,0.4375
Modular bridges,0.18,96.0,160.0,0.6
Ring,0.02,0.0,120.0,0.0
Ring,0.04,3.0,120.0,0.025
Ring,0.06,8.0,120.0,0.06666666666666667
Ring,0.08,17.0,120.0,0.14166666666666666
Ring,0.12,60.0,120.0,0.5
Ring,0.18,83.0,120.0,0.6916666666666667
Scale-free,0.02,4.0,160.0,0.025
Scale-free,0.04,16.0,160.0,0.1
Scale-free,0.06,36.0,160.0,0.225
Scale-free,0.08,64.0,160.0,0.4
Scale-free,0.12,103.0,160.0,0.64375
Scale-free,0.18,132.0,160.0,0.825
Small-world,0.02,4.0,160.0,0.025
Small-world,0.04,20.0,160.0,0.125
Small-world,0.06,57.0,160.0,0.35625
Small-world,0.08,78.0,160.0,0.4875
Small-world,0.12,123.0,160.0,0.76875
Small-world,0.18,141.0,160.0,0.88125
Wheel,0.02,5.0,120.0,0.041666666666666664
Wheel,0.04,21.0,120.0,0.175
Wheel,0.06,38.0,120.0,0.31666666666666665
Wheel,0.08,41.0,120.0,0.3416666666666667
Wheel,0.12,85.0,120.0,0.7083333333333334
Wheel,0.18,99.0,120.0,0.825
